Total energy production (Mtoe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (%) ,2000 - 2018 (%/year) 
World,8796,8813,8866,8902,9034,9251,9479,9602,9718,9727,10017,10178,10258,10672,11186,11542,11870,12071,12314,12216,12791,13119,13298,13486,13716,13802,13754,14068,14468,"2,8","2,1"
OECD,3446,3476,3501,3499,3617,3679,3778,3809,3823,3799,3842,3885,3871,3843,3874,3855,3880,3870,3881,3819,3897,3876,3906,3997,4159,4180,4080,4207,4408,"4,8","0,8"
G7,2535,2533,2546,2530,2636,2666,2711,2717,2736,2716,2714,2727,2699,2658,2673,2647,2670,2663,2674,2623,2674,2676,2686,2757,2915,2945,2833,2953,3159,"7,0","0,8"
BRICS,2676,2619,2561,2522,2528,2604,2642,2626,2639,2666,2745,2838,2952,3206,3438,3626,3788,3954,4054,4115,4428,4616,4655,4735,4790,4828,4742,4901,5071,"3,5","3,5"
Europe,1133,1133,1137,1148,1176,1207,1263,1259,1227,1228,1239,1236,1245,1237,1226,1192,1169,1146,1154,1112,1118,1079,1073,1062,1044,1047,1044,1047,1043,"-0,4","-1,0"
European Union,955,945,933,937,953,968,1000,988,960,961,953,952,953,944,939,911,892,867,865,827,844,812,803,798,780,773,761,758,753,"-0,6","-1,3"
Belgium,13,13,13,12,12,12,12,13,13,14,14,13,13,14,14,14,14,14,14,15,16,16,14,15,13,11,15,15,12,"-23,2","-0,9"
Czech Republic,41,39,37,36,34,33,33,34,32,29,31,32,32,34,35,33,34,34,33,32,32,33,33,31,30,29,27,28,28,"0,2","-0,6"
France,112,119,120,126,124,128,132,129,125,127,131,132,134,136,137,137,136,135,137,129,136,136,135,137,138,139,131,130,135,"4,2","0,2"
Germany,190,169,164,153,145,145,143,145,137,138,136,135,134,135,137,137,139,136,133,126,129,123,123,121,120,120,116,115,115,"0,2","-0,9"
Italy,26,26,28,29,30,30,31,31,31,29,28,27,29,30,29,31,30,31,33,32,33,32,35,37,37,36,34,34,36,"5,4","1,4"
Netherlands,61,68,68,69,67,67,75,67,64,60,58,61,61,59,68,62,61,60,68,63,71,66,66,70,60,48,46,42,31,"-25,1","-3,4"
Poland,104,100,98,97,98,100,102,100,87,84,80,81,80,80,79,79,78,72,71,67,67,68,72,71,68,69,67,66,64,"-2,7","-1,2"
Portugal,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,5,4,5,6,6,5,6,6,5,6,5,6,"12,7","2,4"
Romania,41,36,34,33,32,32,33,32,29,28,28,28,29,29,28,28,28,28,29,28,28,28,27,26,27,27,25,26,25,"-2,8","-0,6"
Spain,35,35,34,33,32,32,33,32,33,31,32,34,32,33,33,31,32,31,30,30,35,32,34,35,35,34,34,33,34,"1,9","0,3"
Sweden,30,31,29,29,31,32,32,32,34,33,30,34,32,31,34,35,33,33,33,30,33,33,36,35,34,34,35,36,37,"1,1","1,0"
United Kingdom,208,215,215,223,252,258,269,268,272,282,272,262,259,247,226,205,187,176,167,158,148,130,117,110,108,118,120,120,124,"3,1","-4,3"
Norway,119,131,147,155,171,185,208,213,207,210,228,227,236,235,229,224,216,215,222,217,203,195,200,191,195,204,208,214,207,"-3,4","-0,5"
Turkey,26,26,26,26,26,26,27,28,29,28,26,25,24,24,24,24,26,27,29,30,32,32,30,32,31,32,36,37,43,"16,6","2,8"
CIS,1656,1565,1453,1362,1250,1215,1208,1168,1176,1208,1256,1297,1347,1436,1506,1555,1602,1641,1680,1589,1692,1737,1759,1786,1766,1769,1798,1862,1933,"3,8","2,4"
Kazakhstan,91,92,90,79,71,64,64,66,65,66,79,84,91,102,115,119,128,132,144,148,157,160,165,169,166,164,163,180,190,"5,2","5,0"
