Total energy production (Mtoe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (%) ,2000 - 2018 (%/year) 
World,"8 796,09","8 812,86","8 866,05","8 901,74","9 033,66","9 250,75","9 478,59","9 602,04","9 717,93","9 727,25","10 017,04","10 178,03","10 258,23","10 671,75","11 186,48","11 542,22","11 869,97","12 071,22","12 313,56","12 215,77","12 790,74","13 119,15","13 298,09","13 485,61","13 716,29","13 802,29","13 754,05","14 068,09","14 467,53","2,84","2,06"
OECD,"3 446,08","3 476,44","3 501,13","3 499,02","3 616,67","3 678,61","3 778,27","3 809,31","3 822,72","3 798,55","3 842,26","3 884,70","3 871,10","3 842,55","3 873,98","3 855,49","3 880,28","3 870,49","3 880,85","3 818,55","3 896,79","3 876,32","3 905,97","3 997,02","4 159,14","4 179,83","4 080,29","4 206,62","4 408,04","4,79","0,77"
G7,"2 535,31","2 532,87","2 546,14","2 530,18","2 635,67","2 666,07","2 711,08","2 717,22","2 736,26","2 715,68","2 713,64","2 726,67","2 698,64","2 658,27","2 673,48","2 646,60","2 670,33","2 663,12","2 673,84","2 623,03","2 674,38","2 675,55","2 686,06","2 757,11","2 914,82","2 944,59","2 833,00","2 953,29","3 159,25","6,97","0,85"
BRICS,"2 676,27","2 618,85","2 561,15","2 522,22","2 527,73","2 604,23","2 642,18","2 626,39","2 638,61","2 666,34","2 745,02","2 838,31","2 951,57","3 206,23","3 438,07","3 626,43","3 787,51","3 953,96","4 054,35","4 115,00","4 427,61","4 616,37","4 655,14","4 735,22","4 790,01","4 827,69","4 741,92","4 900,81","5 070,52","3,46","3,47"
Europe,"1 133,23","1 133,48","1 136,52","1 147,52","1 176,16","1 207,17","1 262,91","1 258,94","1 226,72","1 228,44","1 239,28","1 236,34","1 245,27","1 236,68","1 226,18","1 191,93","1 168,63","1 145,96","1 153,69","1 112,48","1 118,21","1 078,54","1 073,35","1 061,66","1 044,43","1 047,11","1 043,83","1 046,76","1 042,80","-0,38","-0,95"
European Union,"955,18","945,11","933,05","936,86","952,84","967,59","999,79","987,91","960,16","960,98","952,89","952,08","952,54","944,42","939,38","911,42","891,54","867,43","864,84","826,87","843,95","811,60","803,21","797,76","780,24","773,12","760,82","757,88","753,02","-0,64","-1,30"
Belgium,"13,04","12,92","12,68","12,01","11,59","11,87","12,32","13,34","13,04","13,85","13,67","13,29","13,50","13,70","13,75","13,91","13,77","14,39","13,96","14,78","15,57","16,12","14,19","15,01","12,65","10,72","15,34","15,17","11,66","-23,17","-0,88"
Czech Republic,"41,17","39,02","36,77","36,19","33,56","32,69","33,35","33,69","31,69","28,87","30,91","31,62","31,76","33,81","34,80","33,20","33,85","33,97","33,15","31,66","32,05","32,61","32,67","30,59","29,82","28,89","27,37","27,72","27,78","0,22","-0,59"
France,"111,90","118,53","120,20","126,41","123,79","127,87","131,80","128,74","125,42","127,14","130,66","132,01","134,08","135,75","136,94","137,11","136,20","134,72","136,72","129,09","136,04","136,44","134,79","136,57","137,82","138,54","131,48","129,94","135,39","4,20","0,20"
Germany,"190,13","168,76","163,57","152,71","145,31","144,95","143,21","144,84","136,91","137,83","135,64","134,56","134,36","135,06","136,83","136,86","138,81","136,36","132,74","126,46","128,74","122,68","122,71","120,57","119,88","119,71","115,66","114,80","114,99","0,16","-0,91"
