Date,Heure,Région,Consommation brute électricité (MW) - RTE
2017-11-23,00:00,Ile-de-France,8619.0
2017-11-23,01:00,Ile-de-France,7978.0
2017-11-23,02:00,Ile-de-France,7264.0
2017-11-23,04:00,Ile-de-France,6812.0
2017-11-23,05:00,Ile-de-France,6877.0
2017-11-23,06:00,Ile-de-France,7385.0
2017-11-23,07:00,Ile-de-France,8662.0
2017-11-23,09:00,Ile-de-France,9938.0
2017-11-23,11:00,Ile-de-France,9918.0
2017-11-23,12:00,Ile-de-France,9910.0
2017-11-23,13:00,Ile-de-France,9710.0
2017-11-23,14:00,Ile-de-France,9405.0
2017-11-23,15:00,Ile-de-France,9244.0
2017-11-23,20:00,Ile-de-France,10316.0
2017-11-23,21:00,Ile-de-France,9543.0
2017-11-23,23:00,Ile-de-France,9064.0
2017-11-24,00:00,Ile-de-France,8316.0
2017-11-24,03:00,Ile-de-France,6514.0
2017-11-24,04:00,Ile-de-France,6333.0
2017-11-24,05:00,Ile-de-France,6541.0
2017-11-24,10:00,Ile-de-France,9944.0
2017-11-24,11:00,Ile-de-France,9979.0
2017-11-24,12:00,Ile-de-France,10066.0
2017-11-24,13:00,Ile-de-France,9925.0
2017-11-24,14:00,Ile-de-France,9562.0
2017-11-24,16:00,Ile-de-France,9347.0
2017-11-24,19:00,Ile-de-France,10445.0
2017-11-24,20:00,Ile-de-France,10279.0
2017-11-25,00:00,Ile-de-France,8709.0
2017-11-25,01:00,Ile-de-France,7967.0
2017-11-25,03:00,Ile-de-France,6900.0
2017-11-25,05:00,Ile-de-France,6743.0
2017-11-25,06:00,Ile-de-France,7005.0
2017-11-25,07:00,Ile-de-France,7459.0
2017-11-25,08:00,Ile-de-France,8039.0
2017-11-25,09:00,Ile-de-France,8648.0
2017-11-25,10:00,Ile-de-France,9232.0
2017-11-25,12:00,Ile-de-France,9996.0
2017-11-25,13:00,Ile-de-France,10140.0
2017-11-25,14:00,Ile-de-France,9608.0
2017-11-25,17:00,Ile-de-France,9407.0
2017-11-25,19:00,Ile-de-France,10689.0
2017-11-25,20:00,Ile-de-France,10636.0
2017-11-25,21:00,Ile-de-France,10044.0
2017-11-25,22:00,Ile-de-France,9591.0
2017-11-26,00:00,Ile-de-France,9814.0
2017-11-26,01:00,Ile-de-France,9093.0
2017-11-26,02:00,Ile-de-France,8386.0
2017-11-26,07:00,Ile-de-France,8026.0
2017-11-26,09:00,Ile-de-France,8920.0
2017-11-26,10:00,Ile-de-France,9477.0
2017-11-26,11:00,Ile-de-France,9790.0
2017-11-26,12:00,Ile-de-France,9984.0
2017-11-26,13:00,Ile-de-France,9947.0
2017-11-26,15:00,Ile-de-France,9450.0
2017-11-26,16:00,Ile-de-France,9415.0
2017-11-26,21:00,Ile-de-France,10321.0
2017-11-26,23:00,Ile-de-France,10349.0
2017-11-27,01:00,Ile-de-France,8993.0
2017-11-27,10:00,Ile-de-France,11357.0
2017-11-27,11:00,Ile-de-France,11490.0
2017-11-27,12:00,Ile-de-France,11553.0
2017-11-27,16:00,Ile-de-France,11116.0
2017-11-27,17:00,Ile-de-France,11439.0
2017-11-27,18:00,Ile-de-France,11981.0
2017-11-27,19:00,Ile-de-France,12309.0
2017-11-27,20:00,Ile-de-France,12169.0
2017-11-27,22:00,Ile-de-France,10247.0
2017-11-28,01:00,Ile-de-France,9102.0
2017-11-28,04:00,Ile-de-France,7784.0
2017-11-28,05:00,Ile-de-France,7990.0
2017-11-28,07:00,Ile-de-France,9799.0
2017-11-28,08:00,Ile-de-France,11261.0
2017-11-28,10:00,Ile-de-France,11388.0
2017-11-28,11:00,Ile-de-France,11132.0
2017-11-28,12:00,Ile-de-France,11118.0
2017-11-28,16:00,Ile-de-France,10722.0
2017-11-28,17:00,Ile-de-France,10960.0
2017-11-28,18:00,Ile-de-France,11628.0
2017-11-28,19:00,Ile-de-France,12093.0
2017-11-28,21:00,Ile-de-France,11156.0
2017-11-28,23:00,Ile-de-France,10893.0
2017-11-29,00:00,Ile-de-France,10279.0
2017-11-29,01:00,Ile-de-France,9366.0
2017-11-29,02:00,Ile-de-France,8699.0
2017-11-29,04:00,Ile-de-France,8413.0
2017-11-29,07:00,Ile-de-France,10530.0
2017-11-29,11:00,Ile-de-France,12134.0
2017-11-29,13:00,Ile-de-France,12114.0
2017-11-29,15:00,Ile-de-France,11684.0
2017-11-29,17:00,Ile-de-France,11770.0
2017-11-29,19:00,Ile-de-France,12799.0
2017-11-30,02:00,Ile-de-France,9062.0
2017-11-30,05:00,Ile-de-France,8701.0
2017-11-30,06:00,Ile-de-France,9351.0
2017-11-30,10:00,Ile-de-France,12063.0
2017-11-30,12:00,Ile-de-France,12367.0
2017-11-30,13:00,Ile-de-France,12113.0
2017-11-30,14:00,Ile-de-France,11672.0
2017-11-30,15:00,Ile-de-France,11758.0
2017-11-30,17:00,Ile-de-France,12106.0
2017-11-30,18:00,Ile-de-France,12759.0
2017-11-30,20:00,Ile-de-France,13035.0
2017-11-30,23:00,Ile-de-France,11854.0
2017-12-01,01:00,Ile-de-France,10236.0
2017-12-01,02:00,Ile-de-France,9428.0
2017-12-01,04:00,Ile-de-France,8997.0
2017-12-01,05:00,Ile-de-France,9145.0
2017-12-01,07:00,Ile-de-France,10998.0
2017-12-01,09:00,Ile-de-France,12539.0
2017-12-01,10:00,Ile-de-France,12755.0
2017-12-01,11:00,Ile-de-France,12791.0
2017-12-01,13:00,Ile-de-France,12783.0
2017-12-01,14:00,Ile-de-France,12383.0
2017-12-01,15:00,Ile-de-France,12237.0
2017-12-01,16:00,Ile-de-France,12007.0
2017-12-01,17:00,Ile-de-France,12284.0
2017-12-01,19:00,Ile-de-France,13122.0
2017-12-02,00:00,Ile-de-France,11221.0
2017-12-02,01:00,Ile-de-France,10431.0
2017-12-02,02:00,Ile-de-France,9653.0
2017-12-02,03:00,Ile-de-France,9283.0
2017-12-02,04:00,Ile-de-France,9090.0
2017-12-02,05:00,Ile-de-France,9137.0
2017-12-02,08:00,Ile-de-France,10296.0
2017-12-02,09:00,Ile-de-France,11038.0
2017-12-02,11:00,Ile-de-France,12016.0
2017-12-02,12:00,Ile-de-France,12299.0
2017-12-02,17:00,Ile-de-France,11930.0
2017-12-02,18:00,Ile-de-France,12357.0
2017-12-02,20:00,Ile-de-France,12622.0
2017-12-02,21:00,Ile-de-France,11999.0
2017-12-02,22:00,Ile-de-France,11351.0
2017-12-03,00:00,Ile-de-France,11623.0
2017-12-03,02:00,Ile-de-France,10045.0
2017-12-03,04:00,Ile-de-France,9362.0
2017-12-03,05:00,Ile-de-France,9351.0
2017-12-03,06:00,Ile-de-France,9491.0
2017-12-03,09:00,Ile-de-France,10419.0
2017-12-03,11:00,Ile-de-France,11828.0
2017-12-03,13:00,Ile-de-France,12280.0
2017-12-03,14:00,Ile-de-France,11779.0
2017-12-03,15:00,Ile-de-France,11668.0
2017-12-03,16:00,Ile-de-France,11493.0
2017-12-03,18:00,Ile-de-France,12079.0
2017-12-03,19:00,Ile-de-France,12462.0
2017-12-03,21:00,Ile-de-France,11785.0
2017-12-03,22:00,Ile-de-France,11126.0
2017-12-03,23:00,Ile-de-France,11709.0
2017-12-04,02:00,Ile-de-France,9474.0
2017-12-04,04:00,Ile-de-France,8861.0
2017-12-04,05:00,Ile-de-France,9018.0
2017-12-04,06:00,Ile-de-France,9638.0
2017-12-04,08:00,Ile-de-France,12193.0
2017-12-04,09:00,Ile-de-France,12192.0
2017-12-04,11:00,Ile-de-France,12451.0
2017-12-04,12:00,Ile-de-France,12474.0
2017-12-04,14:00,Ile-de-France,11889.0
2017-12-04,16:00,Ile-de-France,11667.0
2017-12-04,17:00,Ile-de-France,11856.0
2017-12-04,18:00,Ile-de-France,12413.0
2017-12-04,23:00,Ile-de-France,11119.0
2017-12-05,02:00,Ile-de-France,9016.0
2017-12-05,03:00,Ile-de-France,8856.0
2017-12-05,07:00,Ile-de-France,10760.0
2017-12-05,10:00,Ile-de-France,12387.0
2017-12-05,11:00,Ile-de-France,12316.0
2017-12-05,13:00,Ile-de-France,12215.0
2017-12-05,14:00,Ile-de-France,11850.0
2017-12-05,15:00,Ile-de-France,11668.0
2017-12-05,16:00,Ile-de-France,11465.0
2017-12-05,17:00,Ile-de-France,11775.0
2017-12-05,18:00,Ile-de-France,12213.0
2017-12-05,19:00,Ile-de-France,12543.0
2017-12-05,21:00,Ile-de-France,11630.0
2017-12-05,22:00,Ile-de-France,10738.0
2017-12-05,23:00,Ile-de-France,11139.0
2017-12-06,00:00,Ile-de-France,10429.0
2017-12-06,01:00,Ile-de-France,9465.0
2017-12-06,02:00,Ile-de-France,8680.0
2017-12-06,03:00,Ile-de-France,8435.0
2017-12-06,05:00,Ile-de-France,8341.0
2017-12-06,06:00,Ile-de-France,8912.0
2017-12-06,07:00,Ile-de-France,10208.0
2017-12-06,09:00,Ile-de-France,11713.0
2017-12-06,10:00,Ile-de-France,11990.0
2017-12-06,12:00,Ile-de-France,12212.0
2017-12-06,15:00,Ile-de-France,11882.0
2017-12-06,19:00,Ile-de-France,12604.0
2017-12-06,23:00,Ile-de-France,11523.0
2017-12-07,01:00,Ile-de-France,9986.0
2017-12-07,02:00,Ile-de-France,9340.0
2017-12-07,05:00,Ile-de-France,8922.0
2017-12-07,07:00,Ile-de-France,10933.0
2017-12-07,08:00,Ile-de-France,12404.0
2017-12-07,10:00,Ile-de-France,12673.0
2017-12-07,11:00,Ile-de-France,12817.0
2017-12-07,12:00,Ile-de-France,12948.0
2017-12-07,14:00,Ile-de-France,12488.0
2017-12-07,15:00,Ile-de-France,12287.0
2017-12-07,17:00,Ile-de-France,12398.0
2017-12-07,18:00,Ile-de-France,12683.0
2017-12-07,19:00,Ile-de-France,12876.0
2017-12-07,20:00,Ile-de-France,12599.0
2017-12-07,21:00,Ile-de-France,11670.0
2017-12-07,22:00,Ile-de-France,10793.0
2017-12-07,23:00,Ile-de-France,11182.0
2017-12-08,00:00,Ile-de-France,10488.0
2017-12-08,01:00,Ile-de-France,9572.0
2017-12-08,03:00,Ile-de-France,8657.0
2017-12-08,04:00,Ile-de-France,8556.0
2017-12-08,06:00,Ile-de-France,9359.0
2017-12-08,08:00,Ile-de-France,11958.0
2017-12-08,09:00,Ile-de-France,12240.0
2017-12-08,10:00,Ile-de-France,12388.0
2017-12-08,12:00,Ile-de-France,12495.0
2017-12-08,13:00,Ile-de-France,12351.0
2017-12-08,14:00,Ile-de-France,12136.0
2017-12-08,15:00,Ile-de-France,12052.0
2017-12-08,16:00,Ile-de-France,11874.0
2017-12-08,17:00,Ile-de-France,12284.0
2017-12-08,18:00,Ile-de-France,12779.0
2017-12-08,19:00,Ile-de-France,13038.0
2017-12-08,20:00,Ile-de-France,12980.0
2017-12-08,21:00,Ile-de-France,12192.0
2017-12-08,22:00,Ile-de-France,11391.0
2017-12-08,23:00,Ile-de-France,12018.0
2017-12-09,01:00,Ile-de-France,10521.0
2017-12-09,04:00,Ile-de-France,9105.0
2017-12-09,05:00,Ile-de-France,9147.0
2017-12-09,06:00,Ile-de-France,9408.0
2017-12-09,08:00,Ile-de-France,10458.0
2017-12-09,09:00,Ile-de-France,11061.0
2017-12-09,11:00,Ile-de-France,11813.0
2017-12-09,12:00,Ile-de-France,11794.0
2017-12-09,13:00,Ile-de-France,11577.0
2017-12-09,14:00,Ile-de-France,11233.0
2017-12-09,16:00,Ile-de-France,11219.0
2017-12-09,19:00,Ile-de-France,12295.0
2017-12-09,20:00,Ile-de-France,12102.0
2017-12-09,21:00,Ile-de-France,11561.0
2017-12-10,00:00,Ile-de-France,11007.0
2017-12-10,02:00,Ile-de-France,9453.0
2017-12-10,03:00,Ile-de-France,9154.0
2017-12-10,04:00,Ile-de-France,8825.0
2017-12-10,05:00,Ile-de-France,8860.0
2017-12-10,06:00,Ile-de-France,8962.0
2017-12-10,07:00,Ile-de-France,9212.0
2017-12-10,08:00,Ile-de-France,9510.0
2017-12-10,11:00,Ile-de-France,10929.0
2017-12-10,14:00,Ile-de-France,10491.0
2017-12-10,15:00,Ile-de-France,10328.0
2017-12-10,17:00,Ile-de-France,10408.0
2017-12-10,18:00,Ile-de-France,10959.0
2017-12-10,19:00,Ile-de-France,11449.0
2017-12-10,21:00,Ile-de-France,10819.0
2017-12-10,22:00,Ile-de-France,10137.0
2017-12-10,23:00,Ile-de-France,10674.0
2017-12-11,00:00,Ile-de-France,9958.0
2017-12-11,01:00,Ile-de-France,9251.0
2017-12-11,02:00,Ile-de-France,8549.0
2017-12-11,03:00,Ile-de-France,8257.0
2017-12-11,04:00,Ile-de-France,8004.0
2017-12-11,08:00,Ile-de-France,11161.0
2017-12-11,10:00,Ile-de-France,11692.0
2017-12-11,11:00,Ile-de-France,11840.0
2017-12-11,12:00,Ile-de-France,12097.0
2017-12-11,13:00,Ile-de-France,12065.0
2017-12-11,16:00,Ile-de-France,11666.0
2017-12-11,17:00,Ile-de-France,11995.0
2017-12-11,18:00,Ile-de-France,12582.0
2017-12-11,19:00,Ile-de-France,13126.0
2017-12-11,20:00,Ile-de-France,12965.0
2017-12-11,21:00,Ile-de-France,12171.0
2017-12-11,23:00,Ile-de-France,11695.0
2017-12-12,01:00,Ile-de-France,10158.0
2017-12-12,02:00,Ile-de-France,9331.0
2017-12-12,04:00,Ile-de-France,9000.0
2017-12-12,05:00,Ile-de-France,9156.0
2017-12-12,06:00,Ile-de-France,9944.0
2017-12-12,08:00,Ile-de-France,12555.0
2017-12-12,10:00,Ile-de-France,12895.0
2017-12-12,12:00,Ile-de-France,12564.0
2017-12-12,14:00,Ile-de-France,11939.0
2017-12-12,15:00,Ile-de-France,11707.0
2017-12-12,17:00,Ile-de-France,11971.0
2017-12-12,18:00,Ile-de-France,12819.0
2017-12-12,19:00,Ile-de-France,13193.0
2017-12-12,20:00,Ile-de-France,13071.0
2017-12-12,21:00,Ile-de-France,12420.0
2017-12-12,23:00,Ile-de-France,11883.0
2017-12-13,01:00,Ile-de-France,10247.0
2017-12-13,02:00,Ile-de-France,9448.0
2017-12-13,05:00,Ile-de-France,9162.0
2017-12-13,06:00,Ile-de-France,9817.0
2017-12-13,11:00,Ile-de-France,12916.0
2017-12-13,14:00,Ile-de-France,12289.0
2017-12-13,17:00,Ile-de-France,12124.0
2017-12-13,18:00,Ile-de-France,12494.0
2017-12-13,21:00,Ile-de-France,11634.0
2017-12-13,23:00,Ile-de-France,11157.0
2017-12-14,00:00,Ile-de-France,10450.0
2017-12-14,01:00,Ile-de-France,9624.0
2017-12-14,03:00,Ile-de-France,8757.0
2017-12-14,04:00,Ile-de-France,8556.0
2017-12-14,05:00,Ile-de-France,8797.0
2017-12-14,07:00,Ile-de-France,10768.0
2017-12-14,08:00,Ile-de-France,12242.0
2017-12-14,12:00,Ile-de-France,12481.0
2017-12-14,13:00,Ile-de-France,12427.0
2017-12-14,18:00,Ile-de-France,12522.0
2017-12-14,19:00,Ile-de-France,12991.0
2017-12-14,20:00,Ile-de-France,12760.0
2017-12-14,21:00,Ile-de-France,11918.0
2017-12-14,22:00,Ile-de-France,10978.0
2017-12-14,23:00,Ile-de-France,11524.0
2017-12-15,00:00,Ile-de-France,10828.0
2017-12-15,01:00,Ile-de-France,10004.0
2017-12-15,03:00,Ile-de-France,8987.0
2017-12-15,04:00,Ile-de-France,8664.0
2017-12-15,06:00,Ile-de-France,9382.0
2017-12-15,07:00,Ile-de-France,10724.0
2017-12-15,08:00,Ile-de-France,12186.0
2017-12-15,10:00,Ile-de-France,12386.0
2017-12-15,11:00,Ile-de-France,12287.0
2017-12-15,12:00,Ile-de-France,12421.0
2017-12-15,13:00,Ile-de-France,12206.0
2017-12-15,18:00,Ile-de-France,12536.0
2017-12-15,21:00,Ile-de-France,11779.0
2017-12-15,22:00,Ile-de-France,10906.0
2017-12-15,23:00,Ile-de-France,11436.0
2017-12-16,02:00,Ile-de-France,9176.0
2017-12-16,03:00,Ile-de-France,8765.0
2017-12-16,05:00,Ile-de-France,8558.0
2017-12-16,06:00,Ile-de-France,8741.0
2017-12-16,07:00,Ile-de-France,9153.0
2017-12-16,08:00,Ile-de-France,9740.0
2017-12-16,09:00,Ile-de-France,10332.0
2017-12-16,17:00,Ile-de-France,10843.0
2017-12-16,18:00,Ile-de-France,11565.0
2017-12-17,02:00,Ile-de-France,9171.0
2017-12-17,03:00,Ile-de-France,8864.0
2017-12-17,05:00,Ile-de-France,8483.0
2017-12-17,07:00,Ile-de-France,8872.0
2017-12-17,11:00,Ile-de-France,10906.0
2017-12-17,14:00,Ile-de-France,10653.0
2017-12-17,19:00,Ile-de-France,11837.0
2017-12-17,20:00,Ile-de-France,11865.0
2017-12-17,21:00,Ile-de-France,11394.0
2017-12-17,23:00,Ile-de-France,11288.0
2017-12-18,01:00,Ile-de-France,9972.0
2017-12-18,03:00,Ile-de-France,8746.0
2017-12-18,04:00,Ile-de-France,8441.0
2017-12-18,05:00,Ile-de-France,8492.0
2017-12-18,06:00,Ile-de-France,9057.0
2017-12-18,07:00,Ile-de-France,10133.0
2017-12-18,09:00,Ile-de-France,11866.0
2017-12-18,10:00,Ile-de-France,12047.0
2017-12-18,13:00,Ile-de-France,11709.0
2017-12-18,14:00,Ile-de-France,11659.0
2017-12-18,15:00,Ile-de-France,11461.0
2017-12-18,17:00,Ile-de-France,11711.0
2017-12-18,20:00,Ile-de-France,12587.0
2017-12-18,21:00,Ile-de-France,11801.0
2017-12-19,00:00,Ile-de-France,10716.0
2017-12-19,01:00,Ile-de-France,9925.0
