Electricity production (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to list of tables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2017 - 2018 (%) ,2000 - 2018 (%/year) 
World,"11 882,08","12 160,12","12 270,72","12 560,02","12 866,83","13 308,54","13 736,68","14 027,20","14 387,87","14 794,55","15 494,56","15 611,30","16 221,02","16 815,82","17 586,43","18 346,85","19 057,22","19 885,52","20 267,79","20 185,53","21 537,82","22 232,80","22 735,46","23 426,43","23 895,99","24 333,21","25 039,93","25 690,67","26 590,34","3,50","3,05"
OECD,"7 699,68","7 886,09","7 961,94","8 145,58","8 374,56","8 626,54","8 871,72","8 995,49","9 218,08","9 421,98","9 810,53","9 692,73","9 972,73","10 088,01","10 337,34","10 590,01","10 668,29","10 863,29","10 877,56","10 478,88","10 945,54","10 894,54","10 881,99","10 904,38","10 861,51","10 915,47","11 000,50","11 051,20","11 229,84","1,62","0,75"
G7,"6 077,40","6 222,05","6 263,34","6 400,50","6 563,27","6 741,12","6 926,40","6 966,57","7 115,91","7 243,11","7 498,86","7 307,76","7 541,56","7 600,98","7 755,11","7 927,24","7 952,74","8 043,64","8 016,68","7 658,95","7 996,64","7 895,92","7 834,54","7 899,73","7 864,49","7 871,38","7 881,92","7 876,94","8 037,49","2,04","0,39"
BRICS,"2 386,20","2 467,74","2 509,52","2 582,51","2 636,70","2 753,86","2 863,45","2 961,04","3 025,53","3 169,65","3 362,77","3 499,01","3 722,20","4 076,45","4 451,42","4 817,16","5 308,67","5 829,31","6 078,79","6 340,14","7 001,79","7 637,44","7 999,88","8 525,39","8 880,60","9 131,14","9 618,08","10 096,77","10 715,20","6,13","6,65"
Europe,"2 899,97","2 937,03","2 925,77","2 931,25","2 976,32","3 070,66","3 163,71","3 199,02","3 279,67","3 326,92","3 438,10","3 503,96","3 539,49","3 620,99","3 705,23","3 763,03","3 813,18","3 857,61","3 883,78","3 708,21","3 865,72","3 813,67","3 841,54","3 814,48","3 744,11","3 802,78","3 843,74","3 894,32","3 883,46","-0,28","0,68"
European Union,"2 595,18","2 640,09","2 624,13","2 626,37","2 666,93","2 743,61","2 845,93","2 857,09","2 922,73","2 954,91","3 035,75","3 119,16","3 144,28","3 235,06","3 302,81","3 325,81","3 371,45","3 384,13","3 387,37","3 222,40","3 366,59","3 301,43","3 296,15","3 270,87","3 191,16","3 235,11","3 258,08","3 292,53","3 277,97","-0,44","0,43"
Belgium,"70,92","71,94","72,23","70,83","72,18","74,41","76,10","78,83","83,18","84,51","84,01","79,82","82,07","84,63","85,64","87,03","85,62","88,82","84,93","91,24","95,19","90,24","82,92","83,49","72,67","69,85","85,52","86,38","74,46","-13,80","-0,67"
Czech Republic,"62,56","60,53","59,29","58,88","58,71","60,85","64,26","64,60","65,11","64,69","73,47","74,65","76,35","83,23","84,33","82,58","84,36","88,20","83,65","82,19","85,90","87,48","87,42","86,91","86,15","83,89","83,31","87,05","88,01","1,11","1,01"
France,"420,75","455,56","463,64","472,71","476,87","494,27","513,40","504,77","511,28","525,81","539,95","549,53","559,06","566,84","574,05","576,06","574,87","569,77","573,81","535,94","569,29","564,99","564,48","573,85","564,15","570,32","556,18","553,92","571,35","3,15","0,31"
Germany,"550,02","539,63","537,47","526,28","529,16","537,28","555,37","551,55","556,39","556,30","576,54","586,41","586,69","608,78","617,47","622,58","639,49","640,58","640,41","595,62","632,98","613,07","629,81","638,73","627,80","646,89","649,12","654,99","647,38","-1,16","0,65"
Italy,"216,60","221,82","226,25","222,80","231,81","241,49","244,43","251,47","259,80","265,67","276,64","279,01","285,28","293,89","303,35","303,70","314,12","313,89","319,13","292,64","302,06","302,58","299,28","289,81","279,83","282,99","289,77","295,83","290,61","-1,76","0,27"
Netherlands,"71,97","74,38","77,26","77,16","79,87","81,17","85,42","86,52","91,12","86,72","89,63","93,66","95,98","96,82","101,21","99,92","98,83","105,17","107,55","113,69","119,27","113,96","103,30","101,74","103,42","110,07","115,17","116,41","117,24","0,71","1,50"
